"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2012M01D01","2012M01D02","2012M01D03","2012M01D04","2012M01D05","2012M01D06","2012M01D07","2012M01D08","2012M01D09","2012M01D10","2012M01D11","2012M01D12","2012M01D13","2012M01D14","2012M01D15","2012M01D16","2012M01D17","2012M01D18","2012M01D19","2012M01D20","2012M01D21","2012M01D22","2012M01D23","2012M01D24","2012M01D25","2012M01D26","2012M01D27","2012M01D28","2012M01D29","2012M01D30","2012M01D31","2012M02D01","2012M02D02","2012M02D03","2012M02D04","2012M02D05","2012M02D06","2012M02D07","2012M02D08","2012M02D09","2012M02D10","2012M02D11","2012M02D12","2012M02D13","2012M02D14","2012M02D15","2012M02D16","2012M02D17","2012M02D18","2012M02D19","2012M02D20","2012M02D21","2012M02D22","2012M02D23","2012M02D24","2012M02D25","2012M02D26","2012M02D27","2012M02D28","2012M02D29","2012M03D01","2012M03D02","2012M03D03","2012M03D04","2012M03D05","2012M03D06","2012M03D07","2012M03D08","2012M03D09","2012M03D10","2012M03D11","2012M03D12","2012M03D13","2012M03D14","2012M03D15","2012M03D16","2012M03D17","2012M03D18","2012M03D19","2012M03D20","2012M03D21","2012M03D22","2012M03D23","2012M03D24","2012M03D25","2012M03D26","2012M03D27","2012M03D28","2012M03D29","2012M03D30","2012M03D31","2012M04D01","2012M04D02","2012M04D03","2012M04D04","2012M04D05","2012M04D06","2012M04D07","2012M04D08","2012M04D09","2012M04D10","2012M04D11","2012M04D12","2012M04D13","2012M04D14","2012M04D15","2012M04D16","2012M04D17","2012M04D18","2012M04D19","2012M04D20","2012M04D21","2012M04D22","2012M04D23","2012M04D24","2012M04D25","2012M04D26","2012M04D27","2012M04D28","2012M04D29","2012M04D30","2012M05D01","2012M05D02","2012M05D03","2012M05D04","2012M05D05","2012M05D06","2012M05D07","2012M05D08","2012M05D09","2012M05D10","2012M05D11","2012M05D12","2012M05D13","2012M05D14","2012M05D15","2012M05D16","2012M05D17","2012M05D18","2012M05D19","2012M05D20","2012M05D21","2012M05D22","2012M05D23","2012M05D24","2012M05D25","2012M05D26","2012M05D27","2012M05D28","2012M05D29","2012M05D30","2012M05D31","2012M06D01","2012M06D02","2012M06D03","2012M06D04","2012M06D05","2012M06D06","2012M06D07","2012M06D08","2012M06D09","2012M06D10","2012M06D11","2012M06D12","2012M06D13","2012M06D14","2012M06D15","2012M06D16","2012M06D17","2012M06D18","2012M06D19","2012M06D20","2012M06D21","2012M06D22","2012M06D23","2012M06D24","2012M06D25","2012M06D26","2012M06D27","2012M06D28","2012M06D29","2012M06D30","2012M07D01","2012M07D02","2012M07D03","2012M07D04","2012M07D05","2012M07D06","2012M07D07","2012M07D08","2012M07D09","2012M07D10","2012M07D11","2012M07D12","2012M07D13","2012M07D14","2012M07D15","2012M07D16","2012M07D17","2012M07D18","2012M07D19","2012M07D20","2012M07D21","2012M07D22","2012M07D23","2012M07D24","2012M07D25","2012M07D26","2012M07D27","2012M07D28","2012M07D29","2012M07D30","2012M07D31","2012M08D01","2012M08D02","2012M08D03","2012M08D04","2012M08D05","2012M08D06","2012M08D07","2012M08D08","2012M08D09","2012M08D10","2012M08D11","2012M08D12","2012M08D13","2012M08D14","2012M08D15","2012M08D16","2012M08D17","2012M08D18","2012M08D19","2012M08D20","2012M08D21","2012M08D22","2012M08D23","2012M08D24","2012M08D25","2012M08D26","2012M08D27","2012M08D28","2012M08D29","2012M08D30","2012M08D31","2012M09D01","2012M09D02","2012M09D03","2012M09D04","2012M09D05","2012M09D06","2012M09D07","2012M09D08","2012M09D09","2012M09D10","2012M09D11","2012M09D12","2012M09D13","2012M09D14","2012M09D15","2012M09D16","2012M09D17","2012M09D18","2012M09D19","2012M09D20","2012M09D21","2012M09D22","2012M09D23","2012M09D24","2012M09D25","2012M09D26","2012M09D27","2012M09D28","2012M09D29","2012M09D30","2012M10D01","2012M10D02","2012M10D03","2012M10D04","2012M10D05","2012M10D06","2012M10D07","2012M10D08","2012M10D09","2012M10D10","2012M10D11","2012M10D12","2012M10D13","2012M10D14","2012M10D15","2012M10D16","2012M10D17","2012M10D18","2012M10D19","2012M10D20","2012M10D21","2012M10D22","2012M10D23","2012M10D24","2012M10D25","2012M10D26","2012M10D27","2012M10D28","2012M10D29","2012M10D30","2012M10D31","2012M11D01","2012M11D02","2012M11D03","2012M11D04","2012M11D05","2012M11D06","2012M11D07","2012M11D08","2012M11D09","2012M11D10","2012M11D11","2012M11D12","2012M11D13","2012M11D14","2012M11D15","2012M11D16","2012M11D17","2012M11D18","2012M11D19","2012M11D20","2012M11D21","2012M11D22","2012M11D23","2012M11D24","2012M11D25","2012M11D26","2012M11D27","2012M11D28","2012M11D29","2012M11D30","2012M12D01","2012M12D02","2012M12D03","2012M12D04","2012M12D05","2012M12D06","2012M12D07","2012M12D08","2012M12D09","2012M12D10","2012M12D11","2012M12D12","2012M12D13","2012M12D14","2012M12D15","2012M12D16","2012M12D17","2012M12D18","2012M12D19","2012M12D20","2012M12D21","2012M12D22","2012M12D23","2012M12D24","2012M12D25","2012M12D26","2012M12D27","2012M12D28","2012M12D29","2012M12D30","2012M12D31"
"Total"
" ","Total",166,162,156,155,183,128,144,161,158,152,173,161,143,141,155,163,150,144,175,141,155,124,178,154,135,168,177,148,182,148,130,143,130,157,132,143,176,148,137,149,152,144,174,170,172,145,160,149,165,125,147,177,164,145,171,146,156,165,144,144,158,143,155,158,132,149,153,126,127,157,130,151,148,145,134,147,150,149,151,147,144,139,167,161,120,146,159,136,131,153,149,149,132,166,155,162,152,135,135,158,152,149,148,157,147,134,139,155,151,153,150,142,169,155,132,157,145,147,148,152,154,139,146,152,146,110,137,142,134,152,153,162,141,129,120,126,127,149,143,135,144,134,145,147,145,142,117,122,138,135,130,154,122,128,149,141,164,146,130,134,157,124,135,129,126,118,134,132,142,140,141,131,148,161,134,139,129,130,142,162,136,150,134,113,132,138,146,131,132,122,119,132,133,147,125,133,135,147,137,143,143,115,127,120,122,145,149,150,149,132,123,133,136,133,144,133,114,130,143,131,124,157,120,133,132,117,139,135,119,128,132,128,129,162,133,136,132,120,137,125,110,131,148,138,162,125,114,134,121,135,125,133,124,144,139,140,127,141,149,134,140,132,124,119,132,145,144,125,157,147,152,117,131,120,136,135,157,144,139,144,129,163,133,136,149,156,136,135,143,139,122,140,139,148,151,120,127,150,131,145,138,136,133,135,152,128,153,140,132,136,130,153,150,146,140,150,130,153,148,153,148,119,125,137,138,140,123,165,132,137,150,131,125,146,146,154,132,136,146,126,156,166,133,146,138,146,134,141,146,161,156,158,163,154,170,167,162,177,166,172,166,161,186,178,172,158
" ","0-4 years",0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,3,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,1,0,2,2,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,2,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,3,0,1,0,2,1,0,0,0,3,1,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,0,1,1,0,1,0,2,1,0,2,3,3,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,2,1,0,2,1,2,0,1,0,1,3,3,0,1,1,0,0,0,0,0,2,0,0,1,2,1,1,1,0,2,1,1,0,2,0,1,2,0,1,0,2,1,0,0,0,0,1,2,0,0,1,0,0,1,1,2,1,2,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,2,1,0,4,0,0,0,1,3,2,0,0,1,0,1,3,0,1,1,0,3,2,0,1,1,0,0,0,0,1,2,0,1,0,0,3,1,1,0,1,0,2,0,1,0,0,1,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
" ","5-9 years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" ","15-19 years",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
" ","20-24 years",0,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0
" ","25-29 years",1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
" ","30-34 years",1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,1,2,0,2,1,0,0,2,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,1,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,3,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,2,3,2,0
